GMID,Quantity,Expiration_Date
287553,11821,2021-08-31
476712,14253,2021-02-28
289137,432,2023-09-30
289137,3560,2023-09-30
289137,4354,2023-09-30
289137,4407,2023-09-30
289138,9934,2023-09-30
289138,20180,2024-02-29
289138,21760,2023-09-30
592705,7680,2024-01-31
592705,19550,2023-10-31
609071,48426,2022-03-31
609071,48960,2022-03-31
671597,2800,2020-09-30
671597,5310,2020-08-31
264980,33375,2023-12-31
311122,14,2023-09-30
311122,22211,2023-09-30
